Evsahibi,Deplasman,EVG,DEPG,MS,İEG,İDG,İS,ES,DS,EKS,DKS,EF,DF,EK,DK,ESK,DSK,EKK,DKK
Sivasspor,Bursaspor,2,0,1,1,0,1,9,7,3,3,23,14,5,6,2,4,0,0
Ankaragucu,Antalyaspor,0,1,2,0,1,2,14,11,3,6,10,18,5,8,2,5,0,0
Buyuksehyr,Yeni Malatyaspor,1,1,3,0,1,2,14,11,6,3,11,9,12,2,2,2,0,0
Kasimpasa,Goztep,3,1,1,1,0,1,19,12,5,5,16,9,6,5,1,0,0,0
Antalyaspor,Galatasaray,0,1,2,0,0,3,5,15,0,7,15,14,5,7,1,3,0,0
Bursaspor,Ankaragucu,1,0,1,1,0,1,13,7,5,2,19,11,10,5,1,0,0,0
Erzurum BB,Alanyaspor,1,0,1,0,0,3,13,6,4,1,10,15,6,5,2,2,0,0
Kayserispor,Rizespor,2,2,3,0,1,2,14,6,4,2,11,14,5,6,1,3,1,1
Akhisar Belediyespor,Trabzonspor,1,3,2,0,2,2,11,10,4,4,15,16,5,5,1,3,0,0
Fenerbahce,Buyuksehyr,0,0,3,0,0,3,16,9,4,3,15,16,7,6,5,4,0,0
Konyaspor,Besiktas,2,2,3,1,0,1,15,7,5,4,18,10,9,4,6,7,0,1
Yeni Malatyaspor,Sivasspor,4,4,3,1,3,2,23,12,8,5,13,13,5,3,3,4,0,1
Galatasaray,Bursaspor,1,1,3,0,0,3,10,13,3,3,6,18,1,6,1,5,0,0
Buyuksehyr,Kayserispor,1,0,1,1,0,1,14,7,3,2,15,14,8,4,4,3,0,0
Kasimpasa,Akhisar Belediyespor,5,0,1,0,0,3,16,16,6,5,18,16,3,7,1,3,0,0
Sivasspor,Fenerbahce,0,0,3,0,0,3,17,13,4,4,14,14,3,4,2,1,0,0
Alanyaspor,Antalyaspor,0,1,2,0,1,2,12,10,0,3,15,14,7,4,3,4,1,0
Ankaragucu,Yeni Malatyaspor,1,0,1,1,0,1,7,10,3,2,21,19,6,6,4,4,0,0
Goztep,Besiktas,2,0,1,0,0,3,10,10,5,2,18,14,5,6,3,2,0,0
